experiment_name,precision,recall,mAP50,mAP50-95,training_time_ms,eval_time_ms
vz-3754523883,0.968050,0.961720,0.981550,0.617530,1272364,6121
vz-3754523883,0.965560,0.890110,0.939410,0.580440,1307887,5792
vz-3754523883,0.953080,0.925930,0.964380,0.588280,1446206,5237
vz-3754523883,0.994400,0.939020,0.977110,0.601470,1287910,5398
vz-3754523883,0.961290,0.962770,0.978470,0.617090,1244944,5217
vz-3754523883,0.972710,0.942820,0.977950,0.600940,1331039,4963
vz-3754523883,0.946070,0.928200,0.953510,0.586320,1346956,5028
vz-3754523883,0.960210,0.947090,0.966590,0.591500,1269653,4918
vz-3754523883,0.963670,0.931220,0.968650,0.608600,1270250,5331
vz-3754523883,0.995390,0.957450,0.985290,0.626750,1311542,5080
vz-3754523883,0.956560,0.932050,0.949980,0.588150,1377909,4994
vz-3754523883,0.972200,0.925290,0.961920,0.612030,1443166,4943
vz-3754523883,0.978470,0.961840,0.981900,0.611610,1322988,5078
vz-3754523883,0.966090,0.947090,0.967750,0.601100,1314953,5208
vz-3754523883,0.976580,0.952130,0.974380,0.607050,1304417,5101
vz-3754523883,0.959060,0.952380,0.972620,0.616770,1354662,6301
vz-3754523883,0.979420,0.947090,0.972270,0.599630,1431365,5505
vz-3754523883,0.958020,0.952380,0.965110,0.573630,1425477,5828
vz-3754523883,0.950650,0.925930,0.960440,0.601630,1437733,4966
vz-3754523883,0.971910,0.920110,0.959320,0.603340,1274079,4906
vz-3754523883,0.962500,0.950660,0.988870,0.610020,1252638,5196
vz-3754523883,0.949570,0.947090,0.976050,0.642730,1197127,5057
vz-3754523883,0.969290,0.936510,0.944860,0.580290,1216753,5429
vz-3754523883,0.972270,0.927600,0.966670,0.609440,1219976,5109
vz-3754523883,0.977450,0.946810,0.975210,0.602760,1245834,4776
vz-3492508408,0.956940,0.888890,0.948730,0.495350,1258537,5307
vz-3492508408,0.960020,0.899470,0.945640,0.578970,1238413,5288
vz-3492508408,0.972770,0.945000,0.974390,0.600060,1226659,5428
vz-3492508408,0.975480,0.947090,0.978630,0.603510,1213689,5156
vz-3492508408,0.971900,0.919990,0.966560,0.608820,1250486,6830
